sub,acq_IOS,dislike_IOS,close_IOS,self_percent_acq_overlap_negative,self_percent_acq_overlap_neutral,self_percent_acq_overlap_positive,self_percent_close_overlap_negative,self_percent_close_overlap_neutral,self_percent_close_overlap_positive,self_percent_dislike_overlap_negative,self_percent_dislike_overlap_neutral,self_percent_dislike_overlap_positive
99,1,1,7,0,0.25,0.266666667,0,0.25,0.733333333,1,0.25,0
101,7,1,6,0,0.333333333,0.727272727,0.666666667,0.5,0.409090909,0,0.166666667,0.045454545
102,1,1,3,0,0.272727273,0.611111111,0,0.181818182,0.333333333,0.5,0.363636364,0.277777778
103,3,5,4,0.666666667,0.166666667,0.25,0.333333333,0.833333333,0.625,0.5,0.666666667,0
104,3,1,2,0,0.285714286,0.846153846,0.266666667,0.5,0.538461538,0.533333333,0.214285714,0.076923077
105,3,3,4,NaN,NaN,0.333333333,NaN,NaN,0,NaN,NaN,0.5
106,3,1,7,0,0.2,0.083333333,0.4,0.2,0.583333333,0.4,0.2,0
107,3,1,5,NaN,0,0.666666667,NaN,0,0.333333333,NaN,1,0.444444444
108,1,1,2,0,0,0.684210526,0.2,0.545454545,0.789473684,0.3,0.181818182,0.210526316
110,NA,3,2,NaN,0,0,NaN,0.142857143,0.2,NaN,0,0
111,1,1,2,0,0,0.222222222,0.4,0,0.444444444,0.6,0,0.555555556
112,1,1,2,0,0.142857143,0.612903226,0.7,0.714285714,0.677419355,0.4,0.285714286,0.032258065
